ISO Code,Language Name,Summary,Population Size,Institutional (%),Stable (%),Endangered (%),Extinct (%),Digital Support
aaa,Ghotuo,"Ghotuo is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
aab,Arum,Arum is a stable indigenous language of Nigeria. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Still
aac,Ari,Ari is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by adults only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
aad,Amal,"Amal is a stable indigenous language of Papua New Guinea. It belongs to the Sepik language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
aae,Arbëreshë Albanian,"Arbëreshë Albanian is an endangered indigenous language of Italy. It belongs to the Indo-European language family and is part of the Albanian macrolanguage. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Ascending
aaf,Aranadan,"Aranadan is an endangered indigenous language of India. It belongs to the Dravidian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
aag,Ambrak,"Ambrak is an endangered indigenous language of Papua New Guinea. It belongs to the Torricelli language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
aah,Abu’,"Abu’ is an endangered indigenous language of Papua New Guinea. It belongs to the Torricelli language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
aai,Miniafia Oyan,"Miniafia Oyan is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Emerging
aak,Ankave,Ankave is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
aal,Afade,"Afade is a stable indigenous language of Nigeria and Cameroon. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
aan,Anambé,"Anambé is an endangered indigenous language of Brazil. It belongs to the Tupian language family. Direct evidence is lacking, but the language is thought to be used as a first language by the elderly only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
aao,"Arabic, Algerian Saharan","Algerian Saharan Arabic is a stable indigenous language of Algeria. It belongs to the Afro-Asiatic language family and is part of the Arabic macrolanguage. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Still
aap,Pará Arara,Pará Arara is an endangered indigenous language of Brazil. It belongs to the Cariban language family. The language is used as a first language by adults only. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
aaq,"Abenaki, Eastern",Eastern Abenaki is a dormant language of the United States. It belongs to the Algic language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,None,0%,0%,100%,0%,Emerging
aar,Afar,"Afar is an official language in the parts of Ethiopia where it is spoken. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is used as a language of instruction in education.",1M to 1B,100%,0%,0%,0%,Ascending
aas,Aasáx,Aasáx is a dormant language of Tanzania. It belongs to the Afro-Asiatic language family. The language is no longer used as a first language by any remaining members of the ethnic community. It is not known to be taught in schools.,None,0%,0%,100%,0%,Still
aat,Arvanitika Albanian,Arvanitika Albanian is an endangered indigenous language of Greece. It belongs to the Indo-European language family and is part of the Albanian macrolanguage. The language is used as a first language by older adults only. It is not known to be taught in schools.,10K to 1M,0%,0%,100%,0%,Emerging
aau,Abau,Abau is a stable indigenous language of Papua New Guinea. It belongs to the Sepik language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
aaw,Solong,"Solong is a stable indigenous language of Papua New Guinea. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",Less than 10K,0%,100%,0%,0%,Still
aax,Mandobo Atas,Mandobo Atas is an endangered indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,0%,100%,0%,Still
aaz,Amarasi,"Amarasi is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community. It is not known to be taught in schools.",10K to 1M,0%,100%,0%,0%,Emerging
aba,Abé,Abé is a stable indigenous language of Côte d’Ivoire. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,10K to 1M,0%,100%,0%,0%,Emerging
abb,Bankon,"Bankon is an endangered indigenous language of Cameroon. It belongs to the Niger-Congo language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",10K to 1M,0%,0%,100%,0%,Emerging
abc,Ambala Ayta,"Ambala Ayta is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Emerging
abd,Manide,Manide is a stable indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Less than 10K,0%,100%,0%,0%,Emerging
abe,Western Abenaki,Western Abenaki is an endangered indigenous language of Canada. It belongs to the Algic language family. The language is used as a first language by the elderly only. It is not known to be taught in schools.,None,0%,0%,100%,0%,Emerging
abf,Abai Sungai,"Abai Sungai is an endangered indigenous language of Malaysia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is not known to be taught in schools.",None,0%,0%,100%,0%,Still
abg,Wagama,"Wagama is an endangered indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Less than 10K,0%,0%,100%,0%,Still
