ISO Code,Languages in the macro
ara,arq aao abv shu acy adf avl arz afb ayh acw pga apc ayl acm ary ars ayp acx aec ayn ssh arb apd acq abh aeb auz
aym,ayr ayc
aze,azj azb
bal,bgp bcc bgn
bik,ubl bcl lbl rbl cts bto bln fbl
bnc,lbk ebk rbk obk vbk
bua,bxu bxm bxr
chm,mrj mhr
cre,crm crl crk crj csw cwd
del,umu unm
den,scs xsl
din,dip diw dib dks dik
doi,dgo xnr
est,ekk vro
fas,prs pes
ful,fub fui fue fuq ffm fuv fuc fuf fuh
gba,bdt gbp gbq gmm gya gso
gon,wsg esg gno
grb,gry grv gec gbo grj
grn,nhd gui gun gug gnw
hai,hdn hax
hbs,bos hrv cnr srp
hmn,hmc hmm cqd hme hmq muq hmj mww hnj hrm hmd hml huj hmi hmp hea hmz sfm hmy hma hms hmg hmh hmw mmr
iku,ike ikt
ipk,esi esk
jrb,yhd aju yud jye
kau,kby krt knc
kln,eyo sgc enb niq oki pko spy tec tuy
kok,gom knn
kom,koi kpv
kon,kwy kng ldi
kpe,gkp xpe
kur,ckb kmr sdh
lah,jat xhe hno phr skr hnd pnb
lav,ltg lvs
luy,bxk ida lkb rag lts nle lko lri lrm nyd lks lto lwg lsm
man,emk mwk mku mnk msc mlq
mlg,xmv bhr msh plt bmm skg bzc tdx txy tkg xmw
mon,khk mvf
msa,btj mfb bjn bve kxd bvu pse coa liw dup hji ind jak jax vkk meo kvr mqg kvb lcf zlm xmm min mui zmi max orn ors mfa pel msi lce zsm tmw vkt urk
mwr,dhd mve rwr wry mtr swv
nep,dty npi
oji,ojc ciw ojg ojb ojs otw ojw
ori,ory spv
orm,gax hae orc gaz
que,qva qxu quy qvc qvl qud qxr quk qur qug qxc qxa qwa quz qve qub qvh qwh qvw qvi qxw quf qvj qvm qvo qul qvn qxn qvz qvp qxh qxp qxl qvs qxt qus qws quh qxo qup quw qux
raj,bgq gda gju hoj mup wbr
rom,rmn rml rmc rmf rmo rmy rmw
sqi,aae aat aln als
srd,sro sdn src sdc
swa,swc swh
syr,aii cld
tmh,thv taq ttq thz
uzb,uzn uzs
yid,ydd yih
zap,zaq zpo zoo zaf zad zpv zpc zca zps zpp zte zpg ztu zai zpa zpl ztl zcd ztp zpy zam zaw zpm zac zao zpe zpj ztq zar ztm zpx zpf zpt ztn zpn zpi zpr zas zaa zpd zsr zat ztt zpz zts zpk zph zab zax ztg zpu zae zty zav zpb ztx zpw zpq
zha,zch zhd zeh zgb zgn zln zlj zlq zgm zhn zqe zyg zyb zyn zyj zzj
zza,kiu diq
pus,pst pbu pbt
zho,lzh gan hnm hak czh cjy luh cmn mnp cdo nan czo cnp cpx sjc csp wuu hsn yue
