code      , canonical_code, is_iso3, is_glottocode, Articles, Avggoodpagelength  , adjusted_wp_size       , article_count, avg_article_length , entropy           , ethnologue_population, glotto_mapped_iso, glottocode, jw_bible_available, median_article_length, mention_total, os_base_required       , real_ratio          , realtotalratio      , wals_family          , wals_genus                       , wp_incubator, wp_size_chars
ghot1243  , aaa           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aaa              , ghot1243  ,                   ,                      ,              ,                        ,                     ,                     , Niger-Congo          , Edoid                            ,             ,            
alum1246  , aab           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aab              , alum1246  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
arii1243  , aac           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , aac              , arii1243  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
amal1242  , aad           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aad              , amal1242  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
arbe1236  , aae           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aae              , arbe1236  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
aran1261  , aaf           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aaf              , aran1261  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
ambr1239  , aag           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aag              , ambr1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
abua1245  , aah           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aah              , abua1245  ,                   ,                      ,              ,                        ,                     ,                     , Torricelli           , Kombio-Arapesh                   ,             ,            
arif1239  , aai           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aai              , arif1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
anka1246  , aak           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aak              , anka1246  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
afad1236  , aal           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aal              , afad1236  ,                   ,                      ,              ,                        ,                     ,                     , Afro-Asiatic         , Biu-Mandara                      ,             ,            
aram1252  , aam           , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      , aam              , aram1252  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
anam1249  , aan           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , aan              , anam1249  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
alge1240  , aao           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aao              , alge1240  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
para1310  , aap           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aap              , para1310  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
east2544  , aaq           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , aaq              , east2544  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
afar1241  , aar           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 1M to 1B             , aar              , afar1241  ,                  0,                      ,              ,                        ,                     ,                     , Afro-Asiatic         , Lowland East Cushitic            ,            1,            
aasa1238  , aas           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , aas              , aasa1238  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
arva1236  , aat           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aat              , arva1236  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
abau1245  , aau           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aau              , abau1245  ,                   ,                      ,              ,                        ,                     ,                     , Sepik                , Abau                             ,             ,            
solo1258  , aaw           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aaw              , solo1258  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
mand1444  , aax           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , aax              , mand1444  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
aari1240  , aay           , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      , aay              , aari1240  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
amar1273  , aaz           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aaz              , amar1273  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
abee1242  , aba           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , aba              , abee1242  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
abai1241  , abai1241      , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      ,                  , abai1241  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
bank1256  , abb           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , abb              , bank1256  ,                   ,                      ,              ,                        ,                     ,                     , Niger-Congo          , Bantu                            ,             ,            
amba1267  , abc           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , abc              , amba1267  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
cama1250  , abd           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , abd              , cama1250  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
west2630  , abe           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , None                 , abe              , west2630  ,                   ,                      ,              ,                        ,                     ,                     , Algic                , Algonquian                       ,             ,            
abf       , abf           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , None                 ,                  , abai1240  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
abg       , abg           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , abag1245  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
taji1248  , abh           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , abh              , taji1248  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
abid1235  , abi           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , abi              , abid1235  ,                   ,                      ,              ,                        ,                     ,                     , Niger-Congo          , Agneby                           ,             ,            
