Glottocode,Name,Top-level family,ISO-639-3,Macro-area,Child dialects,Latitude,Longitude
aari1239,Aari,South Omotic,aiw,Africa,0,5.95,36.57
aari1240,Aariya,Bookkeeping,aay,Eurasia,0,,
aasa1238,Aasax,Afro-Asiatic,aas,Africa,0,-4.01,36.86
abad1241,Abadi,Austronesian,kbt,Papunesia,0,-9.03,146.99
abag1245,Abaga,Nuclear Trans New Guinea,abg,Papunesia,0,-6.12,145.66
abai1240,Abai Sungai,Austronesian,abf,Papunesia,0,5.55,118.31
abai1241,Abai Tubu-Abai Sembuak,Austronesian,,Papunesia,0,3.52,116.16
aban1242,Abanyom,Atlantic-Congo,abm,Africa,0,6.31,8.63
abar1238,Mungbam,Atlantic-Congo,mij,Africa,6,6.58,10.23
abau1245,Abau,Sepik,aau,Papunesia,0,-3.97,141.32
abaz1241,Abaza,Abkhaz-Adyge,abq,Eurasia,3,44.25,42.00
abee1242,Abé,Atlantic-Congo,aba,Africa,4,5.60,-4.38
aben1249,Abenlen Ayta,Austronesian,abp,Papunesia,0,15.41,120.20
abid1235,Abidji,Atlantic-Congo,abi,Africa,2,5.66,-4.58
abin1243,Abinomn,,bsa,Papunesia,0,-2.92,138.89
abip1241,Abipon,Guaicuruan,axb,South America,0,-29.00,-61.00
abis1238,Aewa,,ash,South America,0,-1.28,-75.08
abkh1244,Abkhaz,Abkhaz-Adyge,abk,Eurasia,3,43.06,41.16
abom1238,Abom,Anim,aob,Papunesia,0,-8.42,142.84
abon1238,Abon,Atlantic-Congo,abo,Africa,0,6.91,10.88
abro1238,Abron,Atlantic-Congo,abr,Africa,0,7.72,-2.50
abua1244,Abua,Atlantic-Congo,abn,Africa,4,4.83,6.61
abua1245,Abu' Arapesh,Nuclear Torricelli,aah,Papunesia,0,-3.46,142.92
abui1241,Abui,Timor-Alor-Pantar,abz,Papunesia,4,-8.31,124.59
abun1252,Abun,,kgr,Papunesia,3,-0.57,132.42
abur1243,Abure,Atlantic-Congo,abu,Africa,0,5.22,-3.64
abur1244,Abureni,Atlantic-Congo,mgj,Africa,0,4.62,6.51
abuu1241,Abu,Ramu,ado,Papunesia,3,-4.24,144.47
acat1239,Acatepec Me'phaa,Otomanguean,tpx,North America,3,17.10,-99.06
acha1249,Longchuan Achang,Sino-Tibetan,acn,Eurasia,3,24.35,97.74
acha1250,Achagua,Arawakan,aca,South America,0,4.39,-72.20
ache1244,Ache,Sino-Tibetan,yif,Eurasia,0,24.15,102.45
ache1245,Acheron,Narrow Talodi,acz,Africa,2,10.88,30.32
ache1246,Aché,Tupian,guq,South America,0,-25.59,-56.47
achi1256,Achi,Mayan,acr,North America,0,15.07,-90.35
achi1257,Acehnese,Austronesian,ace,Papunesia,7,3.91,96.60
achi1258,"Achi', Cubulco",Bookkeeping,acc,North America,0,,
achu1247,Achumawi,Palaihnihan,acv,North America,0,41.10,-121.19
achu1248,Achuar-Shiwiar,Chicham,acu,South America,2,-2.83,-77.26
acol1236,Acoli,Nilotic,ach,Africa,3,3.58,32.51
acro1239,Acroá,Nuclear-Macro-Je,acs,South America,0,-12.59,-40.21
adab1235,Adabe,Bookkeeping,adb,Papunesia,0,-8.23,125.58
adai1235,Adai,,xad,North America,0,31.63,-92.01
adam1238,Adamorobe Sign Language,Sign Language,ads,Africa,0,5.83,-0.15
adam1253,Adamawa Fulfulde,Atlantic-Congo,fub,Africa,6,8.14,13.08
adan1247,Adangme,Atlantic-Congo,ada,Africa,6,5.94,0.13
adan1248,Adangbe,Atlantic-Congo,adq,Africa,0,6.51,0.73
adan1251,Adang,Timor-Alor-Pantar,adn,Papunesia,1,-8.19,124.45
adap1234,Adap,Bookkeeping,adp,Eurasia,0,27.14,90.34
adas1235,Adasen,Austronesian,tiu,Papunesia,2,17.82,120.91
adel1244,Adele,Atlantic-Congo,ade,Africa,2,8.17,0.62
adha1238,Adhari,Indo-European,,Eurasia,0,40.05,48.06
adho1243,Adhola,Nilotic,adh,Africa,0,0.73,34.03
adio1239,Adioukrou,Atlantic-Congo,adj,Africa,0,5.38,-4.53
adiv1239,Kotia-Adivasi Oriya-Desiya,Indo-European,ort,Eurasia,0,18.10,82.85
adiw1235,Adiwasi Garasia,Indo-European,gas,Eurasia,0,24.07,73.14
adny1235,Adnyamathanha,Pama-Nyungan,adt,Australia,0,-30.15,138.67
adon1237,Adonara,Austronesian,adr,Papunesia,10,-8.32,123.16
adug1238,Aduge,Bookkeeping,adu,Africa,0,7.65,6.13
adur1234,Adurgari,Speech Register,,Eurasia,0,33.79,69.32
adyg1241,West Circassian,Abkhaz-Adyge,ady,Eurasia,6,44.00,39.33
adze1240,Adzera,Austronesian,adz,Papunesia,0,-6.39,146.29
adze1241,Adzera (Retired),Bookkeeping,azr,,0,,
aeka1244,Aeka,Nuclear Trans New Guinea,aez,Papunesia,0,-8.86,147.99
aeky1238,Aekyom,Kamula-Elevala,awi,Papunesia,3,-5.88,141.53
aerr1238,Aer,Indo-European,aeq,Eurasia,2,25.25,69.03
afad1236,Afade,Afro-Asiatic,aal,Africa,0,12.06,14.63
afar1241,Afar,Afro-Asiatic,aar,Africa,4,12.23,41.81
afgh1239,Afghan Sign Language,Sign Language,afg,Eurasia,0,34.43,70.45
afgh1240,Afghanistan Gorbat,Mixed Language,,Eurasia,0,,
afit1238,Afitti,Nyimang,aft,Africa,0,12.45,30.76
afri1274,Afrikaans,Indo-European,afr,Africa,3,-22.00,30.00
afri1275,Afrihili,Artificial Language,afh,Africa,0,,
afro1254,Afro-Seminole Creole,Indo-European,afs,North America,0,31.78,-99.29
afud1235,Afudu,Atlantic-Congo,,Africa,0,9.83,11.30
agar1251,Agariya,Unattested,agi,Eurasia,0,24.50,82.30
agar1252,Agarabi,Nuclear Trans New Guinea,agd,Papunesia,0,-6.21,145.92
agat1236,Agatu,Atlantic-Congo,agc,Africa,0,7.98,7.72
agav1236,Agavotaguerra,Unattested,avo,South America,0,-13.30,-53.44
agbi1234,Agbirigba,Speech Register,,Africa,0,,
aghe1239,Aghem,Atlantic-Congo,agq,Africa,0,6.39,10.08
aghu1253,Aghul,Nakh-Daghestanian,agx,Eurasia,6,41.92,47.58
aghu1254,Aghu Tharnggalu,Pama-Nyungan,ggr,Australia,0,-13.73,142.43
aghu1255,Aghu,Nuclear Trans New Guinea,ahh,Papunesia,0,-6.35,140.04
aghu1256,Aghu Tharnggalu (Retired),Bookkeeping,gtu,Australia,0,-15.00,144.00
aghw1237,Aghwan,Nakh-Daghestanian,xag,Eurasia,0,40.37,47.13
agii1245,Agi,Nuclear Torricelli,aif,Papunesia,0,-3.49,142.39
agob1244,Agob-Ende-Kawam,Pahoturi,kit,Papunesia,3,-9.09,142.53
agoi1246,Robambami,Atlantic-Congo,ibm,Africa,2,5.88,8.22
agta1234,Agta-Pahanan,Austronesian,apf,Papunesia,0,17.05,122.28
agua1251,Aguano,Unattested,aga,South America,0,-5.25,-75.83
agua1252,Aguacateco,Mayan,agu,North America,0,15.33,-91.32
agua1253,Aguaruna,Chicham,agr,South America,0,-5.30,-77.92
agun1238,Aguna,Atlantic-Congo,aug,Africa,0,7.49,1.74
agus1235,Agusan Manobo,Austronesian,msm,Papunesia,3,8.63,125.74
agut1237,Agutaynen,Austronesian,agn,Papunesia,0,10.53,119.66
agwa1247,Agwagwune,Atlantic-Congo,yay,Africa,7,5.81,8.03
ahan1243,Ahanta,Atlantic-Congo,aha,Africa,0,4.85,-1.95
ahan1244,Àhàn,Atlantic-Congo,ahn,Africa,0,7.44,6.01
ahea1240,Ahe,Bookkeeping,ahe,,0,,
aher1237,Aheri Gondi,Dravidian,esg,Eurasia,3,19.42,80.01
aheu1239,Thavung,Austroasiatic,thm,Eurasia,0,17.77,104.23
ahin1234,Ahin-Kayapa Kalanguya,Austronesian,kak,Papunesia,2,16.32,120.90
ahir1243,Ahirani,Bookkeeping,ahr,Eurasia,0,21.55,73.69
ahom1240,Ahom,Tai-Kadai,aho,Eurasia,0,27.28,88.46
ahte1237,Ahtena,Athabaskan-Eyak-Tlingit,aht,North America,5,61.71,-144.89
ahwa1235,Ndunic,Atlantic-Congo,nfd,Africa,0,9.18,8.56
aich1238,Ai-Cham,Tai-Kadai,aih,Eurasia,2,25.49,107.84
aigh1235,Aighon,Austronesian,aix,Papunesia,3,-5.99,150.27
aika1237,Aikanã,,tba,South America,1,-12.67,-60.54
aikl1237,Aiklep,Austronesian,mwg,Papunesia,0,-6.24,149.57
aiku1240,Aiku,Bookkeeping,mzf,,0,,
aima1241,Aimaq,Indo-European,aiq,Eurasia,10,35.28,59.18
aime1238,Aimele,Bosavi,ail,Papunesia,0,-6.69,142.66
aimo1244,Aimol,Sino-Tibetan,aim,Eurasia,2,24.64,94.36
ainb1238,Ainbai,Border,aic,Papunesia,0,-3.09,141.15
ainu1240,Hokkaido Ainu,Ainu,ain,Eurasia,2,43.63,142.46
ainu1251,Ainu (China),Turkic,aib,Eurasia,2,39.27,76.42
aiom1240,Aiome,Ramu,aki,Papunesia,0,-5.13,144.76
airo1242,Airoran,Greater Kwerba,air,Papunesia,0,-1.85,138.16
aito1238,Aiton,Tai-Kadai,aio,Eurasia,0,26.51,92.32
ajab1235,Aja (Benin),Atlantic-Congo,ajg,Africa,4,7.07,1.65
ajas1235,Aja (South Sudan),Kresh-Aja,aja,Africa,0,8.58,25.61
ajaw1236,Ajawa,Afro-Asiatic,ajw,Africa,0,10.21,9.89
ajie1238,Ajië,Austronesian,aji,Papunesia,0,-21.30,165.47
ajyi1238,Ajyíninka Apurucayali,Arawakan,cpc,South America,0,-9.82,-74.62
akaa1242,Aka,Eastern Jebel,soh,Africa,0,11.21,33.65
akab1248,Akabo,Great Andamanese,akm,Eurasia,0,12.36,92.80
akab1249,Akabea,Great Andamanese,abj,Eurasia,0,12.38,92.78
akac1240,Akacari,Great Andamanese,aci,Eurasia,0,13.49,92.95
akaj1239,Akajeru,Great Andamanese,akj,Eurasia,1,13.15,92.95
akak1251,Akakora,Great Andamanese,ack,Eurasia,0,12.09,92.75
akak1252,Akakede,Great Andamanese,akx,Eurasia,0,12.85,92.82
akak1253,Akakol,Great Andamanese,aky,Eurasia,0,12.73,92.79
akan1250,Akan,Atlantic-Congo,aka,Africa,10,6.35,-1.33
akar1243,Akarbale,Great Andamanese,acl,Eurasia,0,12.67,92.83
akas1242,Akaselem,Atlantic-Congo,aks,Africa,0,8.89,1.37
