ISO 639-2 Code,ISO 639-1 Code,English name of Language,French name of Language,German name of Language,JW_for_iso1_status,JW_for_iso2_status,Does_have_bible
aar,aa,Afar,afar,Danakil-Sprache,Redirected to EN,Redirected to EN,0
abk,ab,Abkhazian,abkhaze,Abchasisch,Exists,Exists,1
ace,,Achinese,aceh,Aceh-Sprache,N/A,Redirected to EN,0
ach,,Acoli,acoli,Acholi-Sprache,N/A,Exists,1
ada,,Adangme,adangme,Adangme-Sprache,N/A,Exists,1
ady,,Adyghe; Adygei,adyghé,Adygisch,N/A,Exists,1
afa,,Afro-Asiatic languages,"afro-asiatiques, langues",Hamitosemitische Sprachen (Andere),N/A,Redirected to EN,0
afh,,Afrihili,afrihili,Afrihili,N/A,Redirected to EN,0
afr,af,Afrikaans,afrikaans,Afrikaans,Exists,Exists,1
ain,,Ainu,aïnou,Ainu-Sprache,N/A,Redirected to EN,0
aka,ak,Akan,akan,Akan-Sprache,Redirected to EN,Redirected to EN,0
akk,,Akkadian,akkadien,Akkadisch,N/A,Redirected to EN,0
alb (B)sqi (T),sq,Albanian,albanais,Albanisch,Exists,Redirected to EN,1
ale,,Aleut,aléoute,Aleutisch,N/A,Redirected to EN,0
alg,,Algonquian languages,"algonquines, langues",Algonkin-Sprachen (Andere),N/A,Redirected to EN,0
alt,,Southern Altai,altai du Sud,Altaisch,N/A,Exists,1
amh,am,Amharic,amharique,Amharisch,Exists,Exists,1
ang,,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100),Altenglisch,N/A,Redirected to EN,0
anp,,Angika,angika,Anga-Sprache,N/A,Redirected to EN,0
apa,,Apache languages,"apaches, langues",Apachen-Sprachen,N/A,Redirected to EN,0
ara,ar,Arabic,arabe,Arabisch,Exists,Exists,1
arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),araméen d'empire (700-300 BCE),Aramäisch,N/A,Redirected to EN,0
arg,an,Aragonese,aragonais,Aragonesisch,Redirected to EN,Redirected to EN,0
arm (B)hye (T),hy,Armenian,arménien,Armenisch,Exists,Redirected to EN,1
arn,,Mapudungun; Mapuche,mapudungun; mapuche; mapuce,Arauka-Sprachen,N/A,Exists,1
arp,,Arapaho,arapaho,Arapaho-Sprache,N/A,Redirected to EN,0
art,,Artificial languages,"artificielles, langues",Kunstsprachen (Andere),N/A,Redirected to EN,0
arw,,Arawak,arawak,Arawak-Sprachen,N/A,Redirected to EN,0
asm,as,Assamese,assamais,Assamesisch,Exists,Exists,1
ast,,Asturian; Bable; Leonese; Asturleonese,asturien; bable; léonais; asturoléonais,Asturisch,N/A,Redirected to EN,0
ath,,Athapascan languages,"athapascanes, langues",Athapaskische Sprachen (Andere),N/A,Redirected to EN,0
aus,,Australian languages,"australiennes, langues",Australische Sprachen,N/A,Redirected to EN,0
ava,av,Avaric,avar,Awarisch,Exists,Exists,1
ave,ae,Avestan,avestique,Avestisch,Redirected to EN,Redirected to EN,0
awa,,Awadhi,awadhi,Awadhi,N/A,Exists,1
aym,ay,Aymara,aymara,Aymará-Sprache,Exists,Exists,1
aze,az,Azerbaijani,azéri,Aserbeidschanisch,Exists,Redirected to EN,1
bad,,Banda languages,"banda, langues",Banda-Sprachen (Ubangi-Sprachen),N/A,Redirected to EN,0
bai,,Bamileke languages,"bamiléké, langues",Bamileke-Sprachen,N/A,Redirected to EN,0
bak,ba,Bashkir,bachkir,Baschkirisch,Exists,Redirected to EN,1
bal,,Baluchi,baloutchi,Belutschisch,N/A,Redirected to EN,0
bam,bm,Bambara,bambara,Bambara-Sprache,Exists,Redirected to EN,1
ban,,Balinese,balinais,Balinesisch,N/A,Exists,1
