English Name,Local Name
Abaknon,Abaknon
Abbey,Abɛ
Abkhaz,аԥсуа
Abua,Abua
Abui,Alor Abui
Acadian,Acadien
Achi,achi
Achi (Cubulco),achí de cubulco
Achi (Rabinal),achí de rabinal
Acholi,Acholi
Achuar-Shiwiar,achuar-shiwiar
Adhola,Dhopadhola
Adyghe,адыгабзэ
Afrikaans,Afrikaans
Ahanta,Aɣɩnda
Aja,Aja
Ajië,A'jië
Akateko,akateko
Akha,Akha
Albanian,shqip
Albanian (Gheg),Albanian (Gheg)
Algonquin,Anishinàbemowin
Alsatian,Elsässisch
Altai,алтай
Alur,Alur
Ambae (East),Ambae (East)
Amharic,አማርኛ
Amis,阿美語
Amuzgo (Guerrero),ñoomndaa
Anal,Anal
Anyin (Indenie),Anyin (Indenie)
Apma,Apma
Arabic,العربية
Arabic (Algeria),العربيّة (الدّارجة الجزائريّة)
Arabic (Egypt),العربية (اللهجة المصرية)
Arabic (Iraq),العربية (اللهجة العراقية)
Arabic (Jordan),العربية (اللهجة الأردنية)
Arabic (Lebanon),العربية (اللهجة اللبنانية)
Arabic (Morocco),العربية (الدارجة المغربية)
Arabic (Sudanese Creole),Arabi Juba
Arabic (Sudanese),العربية (اللهجة السودانية)
Arabic (Syria),العربية (اللهجة السورية)
Arabic (Tunisia),العربية (الدّارجة التّونسيّة)
Arhuaco,Arhuaco
Armenian,Հայերեն
Armenian (Eastern dialect),Հայերեն (արևելյան բարբառ)
Armenian (West),Արեւմտահայերէն
Arosi,Arosi
Ashaninka,ashaninka
Assamese,অসমীয়া
Assyrian,ܐܵܬܘܿܪܵܝܵܐ
Assyro-Chaldean (Silopi),Assyro-Chaldean (Silopi)
Atayal,Tayal
Ateso,Ateso
Attié,Akie
Aukan,Okanisitongo
Avar,магӀарул
Awa (Cuaiquer),awapit
Awadhi,Awadhi
Awajun,awajun
Awing,Awing
Ayiwo,Ayiwo
Aymara,Aymara
Azerbaijani,Azərbaycan
Azerbaijani (Arabic),آذربايجانى (عربى)
