code,iso639_3,glottocode,AdjustedWPsize,Articles,WPincubatornew,WPsizeinchars,Realtotalratio,Avggoodpagelength,Population Size,Digital Support,has_glottolog,has_bible,win11_os_supported,tatoeba_sentences,has_wals,Ethnologue_Status,has_wiki
aaa,aaa,ghot1243,,,0,,,,3,1,1,0,0,,1,2,0
aab,aab,alum1246,,,0,,,,5,0,1,0,0,,0,2,0
aac,aac,arii1243,,,0,,,,0,0,1,0,0,,0,1,0
aad,aad,amal1242,,,0,,,,3,0,1,0,0,,0,2,0
aae,aae,arbe1236,,,1,,,,5,2,1,0,0,,0,1,0
aaf,aaf,aran1261,,,0,,,,3,0,1,0,0,,0,1,0
aag,aag,ambr1239,,,0,,,,3,0,1,0,0,,0,1,0
aah,aah,abua1245,,,0,,,,3,0,1,0,0,,1,1,0
aai,aai,arif1239,,,0,,,,3,1,1,0,0,,0,2,0
aak,aak,anka1246,,,0,,,,3,1,1,0,0,,0,2,0
aal,aal,afad1236,,,0,,,,5,1,1,0,0,,1,2,0
aam,aam,aram1252,,,,,,,,,1,0,0,,0,,0
aan,aan,anam1249,,,0,,,,0,0,1,0,0,,0,1,0
aao,aao,alge1240,,,0,,,,5,0,1,0,0,,0,2,0
aap,aap,para1310,,,0,,,,3,0,1,0,0,,0,1,0
aaq,aaq,east2544,,,0,,,,0,1,1,0,0,,0,1,0
aar,aar,afar1241,,,1,,,,7,2,1,0,0,,1,3,0
aas,aas,aasa1238,,,0,,,,0,0,1,0,0,,0,1,0
aat,aat,arva1236,,,0,,,,5,1,1,0,0,,0,1,0
aau,aau,abau1245,,,0,,,,3,1,1,0,0,,1,2,0
aaw,aaw,solo1258,,,0,,,,3,0,1,0,0,,0,2,0
aax,aax,mand1444,,,0,,,,3,0,1,0,0,,0,1,0
aay,aay,aari1240,,,,,,,,,1,0,0,,0,,0
aaz,aaz,amar1273,,,0,,,,5,1,1,0,0,,0,2,0
aba,aba,abee1242,,,0,,,,5,1,1,0,0,,0,2,0
abb,abb,bank1256,,,0,,,,5,1,1,0,0,,1,1,0
abc,abc,amba1267,,,0,,,,3,1,1,0,0,,0,1,0
abd,abd,cama1250,,,0,,,,3,1,1,0,0,,0,2,0
abe,abe,west2630,,,0,,,,0,1,1,0,0,,1,1,0
abf,abf,abai1240,,,0,,,,0,0,1,0,0,,0,1,0
abg,abg,abag1245,,,0,,,,3,0,1,0,0,,0,1,0
abh,abh,taji1248,,,0,,,,5,1,1,0,0,,0,1,0
abi,abi,abid1235,,,0,,,,5,1,1,0,0,,1,2,0
abj,abj,akab1249,,,0,,,,0,0,1,0,0,,1,0,0
abk,abk,abkh1244,6.670622,3.914766,0,6.670622,0.16658554392796301,2.868204,5,3,1,1,0,1.568201724066995,1,3,1
abl,abl,lamp1242,,,0,,,,5,1,1,0,0,,0,1,0
abm,abm,aban1242,,,0,,,,5,1,1,0,0,,0,2,0
abn,abn,abua1244,,,0,,,,5,2,1,0,0,,0,2,0
abo,abo,abon1238,,,0,,,,3,0,1,0,0,,0,1,0
abp,abp,aben1249,,,0,,,,3,2,1,0,0,,0,1,0
abq,abq,abaz1241,,,1,,,,5,1,1,0,0,1.0791812460476249,1,2,0
abr,abr,abro1238,,,0,,,,7,2,1,0,0,,0,2,0
abs,abs,ambo1250,,,0,,,,7,2,1,0,0,,0,3,0
abt,abt,ambu1247,,,0,,,,5,1,1,0,0,,1,2,0
abu,abu,abur1243,,,0,,,,5,1,1,0,0,,0,2,0
abv,abv,baha1259,,,0,,,,5,1,1,0,0,,1,3,0
abw,abw,pall1244,,,0,,,,3,0,1,0,0,,0,2,0
abx,abx,inab1237,,,0,,,,5,2,1,0,0,,0,2,0
aby,aby,anem1248,,,0,,,,3,1,1,0,0,,0,2,0
abz,abz,abui1241,,,0,,,,5,1,1,0,0,,1,2,0
aca,aca,acha1250,,,0,,,,3,1,1,0,0,,1,1,0
acb,acb,anca1236,,,0,,,,0,0,1,0,0,,0,2,0
acc,acc,achi1258,,,,,,,,,1,0,0,,0,,0
acd,acd,giky1238,,,0,,,,5,2,1,0,0,,0,2,0
ace,ace,achi1257,6.996374,4.172077,0,6.996374,0.5337774189207375,2.892003,7,2,1,0,0,,1,1,1
acf,acf,sain1246,,,0,,,,5,2,1,0,0,,0,2,0
ach,ach,acol1236,,,1,,,,7,2,1,1,0,,1,3,0
aci,aci,akac1240,,,0,,,,0,0,1,0,0,,1,0,0
ack,ack,akak1251,,,0,,,,0,0,1,0,0,,0,0,0
acl,acl,akar1243,,,0,,,,0,0,1,0,0,,0,0,0
acm,acm,meso1252,,,1,,,,7,2,1,0,0,1.6812412373755872,1,3,0
acn,acn,acha1249,,,0,,,,5,1,1,0,0,,1,2,0
acp,acp,east2403,,,0,,,,3,1,1,0,0,,0,2,0
acq,acq,taiz1242,,,0,,,,7,1,1,0,0,,0,3,0
acr,acr,achi1256,,,0,,,,5,2,1,0,0,,1,1,0
acs,acs,acro1239,,,0,,,,0,0,1,0,0,,0,0,0
act,act,,,,0,,,,5,1,0,0,0,,0,2,0
acu,acu,achu1248,,,0,,,,3,2,1,0,0,,1,2,0
