ISO 639-3,Language,Sentences
eng,English,"2,005,284"
rus,Russian,"1,162,342"
ita,Italian,"947,270"
epo,Esperanto,"800,235"
kab,Kabyle,"774,864"
tur,Turkish,"742,079"
deu,German,"738,888"
fra,French,"699,245"
ber,Berber,"695,106"
por,Portuguese,"438,325"
spa,Spanish,"426,188"
hun,Hungarian,"424,884"
jpn,Japanese,"247,745"
heb,Hebrew,"210,166"
nld,Dutch,"194,520"
ukr,Ukrainian,"187,769"
fin,Finnish,"152,634"
lit,Lithuanian,"138,954"
pol,Polish,"133,575"
ces,Czech,"85,049"
mar,Marathi,"80,205"
cmn,Mandarin Chinese,"80,110"
mkd,Macedonian,"78,256"
tgl,Tagalog,"76,797"
tok,Toki Pona,"69,428"
ara,Arabic,"67,183"
dan,Danish,"66,005"
tat,Tatar,"59,281"
swe,Swedish,"56,964"
lat,Latin,"53,042"
srp,Serbian,"50,826"
tig,Tigre,"46,560"
hye,Eastern Armenian,"43,597"
ell,Greek,"40,894"
ina,Interlingua,"39,953"
ron,Romanian,"37,548"
lfn,Lingua Franca Nova,"36,596"
tlh,Klingon,"35,419"
pes,Persian,"31,581"
vie,Vietnamese,"28,537"
slk,Slovak,"28,387"
ind,Indonesian,"26,202"
bul,Bulgarian,"25,437"
yid,Yiddish,"25,225"
swc,Congo Swahili,"23,824"
oci,Occitan,"23,408"
shi,Tashelhit,"22,512"
hau,Hausa,"21,824"
zgh,Standard Moroccan Tamazight,"20,647"
yue,Cantonese,"20,112"
nds,Low German (Low Saxon),"18,230"
nob,Norwegian Bokmål,"18,043"
jbo,Lojban,"17,164"
ben,Bengali,"15,810"
hin,Hindi,"15,673"
asm,Assamese,"14,682"
kor,Korean,"14,437"
bel,Belarusian,"14,313"
nnb,Nande,"14,226"
ido,Ido,"13,801"
lvs,Latvian,"13,434"
isl,Icelandic,"13,392"
ckb,Central Kurdish (Soranî),"12,600"
nno,Norwegian Nynorsk,"12,412"
ile,Interlingue,"12,333"
aze,Azerbaijani,"11,859"
gos,Gronings,"11,139"
kmr,Northern Kurdish (Kurmancî),"10,286"
cat,Catalan,"10,243"
bre,Breton,"7,999"
uig,Uyghur,"7,976"
zsm,Malay,"7,563"
oss,Ossetian,"7,382"
glg,Galician,"7,347"
kat,Georgian,"7,186"
tuk,Turkmen,"7,122"
tha,Thai,"6,831"
vol,Volapük,"6,496"
eus,Basque,"6,367"
sat,Santali,"6,278"
est,Estonian,"6,163"
hrv,Croatian,"6,020"
kzj,Coastal Kadazan,"5,576"
run,Kirundi,"5,305"
prg,Old Prussian,"5,303"
udm,Udmurt,"4,902"
lin,Lingala,"4,781"
wuu,Shanghainese,"4,769"
afr,Afrikaans,"4,654"
swh,Swahili,"4,569"
npi,Nepali,"4,502"
kaz,Kazakh,"4,409"
mhr,Meadow Mari,"4,363"
avk,Kotava,"4,104"
tir,Tigrinya,"4,007"
cor,Cornish,"3,950"
rhg,Rohingya,"3,856"
knc,Central Kanuri,"3,800"
slv,Slovenian,"3,523"
grn,Guarani,"3,367"
