date,language,code,datasets,models
2020-12,English,en,305.0,980.0
2020-12,Spanish,es,77.0,241.0
2020-12,French,fr,76.0,229.0
2020-12,German,de,62.0,162.0
2020-12,Russian,ru,55.0,67.0
2020-12,Arabic,ar,54.0,56.0
2020-12,Chinese,zh,53.0,50.0
2020-12,Turkish,tr,42.0,46.0
2020-12,Swedish,sv,41.0,202.0
2020-12,Italian,it,36.0,62.0
2020-12,Finnish,fi,35.0,180.0
2020-12,Portuguese,pt,35.0,30.0
2020-12,Polish,pl,34.0,39.0
2020-12,Japanese,ja,29.0,26.0
2020-12,Thai,th,26.0,8.0
2020-12,Estonian,et,25.0,24.0
2020-12,Dutch,nl,25.0,41.0
2020-12,Bulgarian,bg,23.0,40.0
2020-12,Hungarian,hu,23.0,25.0
2020-12,Czech,cs,22.0,27.0
2020-12,Korean,ko,22.0,17.0
2020-12,Vietnamese,vi,22.0,23.0
2020-12,Persian,fa,21.0,4.0
2020-12,Lithuanian,lt,20.0,23.0
2020-12,Croatian,hr,19.0,20.0
2020-12,Greek,el,18.0,28.0
2020-12,Hindi,hi,18.0,29.0
2020-12,Albanian,sq,18.0,11.0
2020-12,Serbian,sr,18.0,
2020-12,Urdu,ur,18.0,16.0
2020-12,Danish,da,17.0,30.0
2020-12,Romanian,ro,17.0,27.0
2020-12,Somali,so,17.0,7.0
2020-12,Slovene,sl,16.0,23.0
2020-12,Macedonian,mk,15.0,18.0
2020-12,Tagalog,tl,15.0,22.0
2020-12,Indonesian,id,14.0,38.0
2020-12,Slovak,sk,14.0,9.0
2020-12,Telugu,te,14.0,9.0
2020-12,Catalan,ca,13.0,29.0
2020-12,Latvian,lv,13.0,17.0
2020-12,Tamil,ta,13.0,5.0
2020-12,Bengali,bn,12.0,19.0
2020-12,Basque,eu,12.0,13.0
2020-12,Hebrew,he,12.0,37.0
2020-12,Icelandic,is,12.0,27.0
2020-12,Maltese,mt,12.0,19.0
2020-12,Afrikaans,af,11.0,30.0
2020-12,Malayalam,ml,11.0,6.0
2020-12,Norwegian,no,11.0,26.0
2020-12,Galician,gl,10.0,17.0
2020-12,Marathi,mr,10.0,14.0
2020-12,Ukrainian,uk,10.0,54.0
2020-12,Xhosa,xh,10.0,17.0
2020-12,Bosnian,bs,9.0,
2020-12,Irish,ga,9.0,10.0
2020-12,Gujarati,gu,9.0,14.0
2020-12,Armenian,hy,9.0,9.0
2020-12,Khmer,km,9.0,6.0
2020-12,Latin,la,9.0,
2020-12,Burmese,my,9.0,3.0
2020-12,Yoruba,yo,9.0,15.0
2020-12,Amharic,am,8.0,9.0
2020-12,Scottish Gaelic,gd,8.0,7.0
2020-12,Hausa,ha,8.0,11.0
2020-12,Kazakh,kk,8.0,1.0
2020-12,Kannada,kn,8.0,5.0
2020-12,Malay,ms,8.0,24.0
2020-12,Punjabi,pa,8.0,1.0
2020-12,Sinhala,si,8.0,13.0
2020-12,Uyghur,ug,8.0,
2020-12,Zulu,zu,8.0,9.0
2020-12,Belarusian,be,7.0,12.0
2020-12,Breton,br,7.0,7.0
2020-12,Welsh,cy,7.0,9.0
2020-12,Esperanto,eo,7.0,50.0
2020-12,Igbo,ig,7.0,18.0
2020-12,Georgian,ka,7.0,6.0
2020-12,Norwegian Nynorsk,nn,7.0,12.0
2020-12,Sanskrit,sa,7.0,3.0
2020-12,Tajik,tg,7.0,
2020-12,Tswana,tn,7.0,12.0
2020-12,Tsonga,ts,7.0,18.0
2020-12,Tatar,tt,7.0,4.0
2020-12,Azerbaijani,az,6.0,5.0
2020-12,Faroese,fo,6.0,11.0
2020-12,Kurdish,ku,6.0,
