,glottolog_index,glottocode,language_name,iso_code,language_or_dialect,macroarea,latitude,longitude,dictionary_exists,language_family,bible_exists,cc_gb,archival_gb,datasets_n,wiki_articles_n,opus_gb,lowercase_name,xeus_gb,wikitongues_gb,models_n,models_mean_downloads,models_earliest_date,wiki_active_users,institutional_status,endangerment_status,primary_country,admin_1_code,country_iso_code,other_country_iso_codes,contested_area,n_speakers,geometry,closest_university,second_closest_university,distance_to_closest_university_km,distance_to_second_closest_university_km,admin_1_hdi,admin_1_gdp,cybersecurity_law_exists,households_with_phones_pct,households_with_home_internet_pct,individuals_using_internet_pct,avg_download_speed_kbps,avg_upload_speed_kbps,avg_latency_ms,pct_stem_grads,literacy_rate,admin_1_education_level,rnd_gdp_pct,AI_resource_readiness,infrastructural_readiness,socioeconomic_readiness,Overall_Readiness_Score,grouped_full_index,grouped_AI_resource_index,grouped_socioeconomic_index,grouped_infrastructural_index
0,1705,stan1293,English,eng,language,Eurasia,53.0,-1.0,1,Indo-European [indo1319],1,2600000000000.0,145.0604782,17723,6909045,848201331,english,173750.0,98.78214167,105792,2908.509676,0,121697,1,Safe,United Kingdom,GBRr104,GBR,BHS-BRB-BLZ-BWA-BDI-CMR-CAN-DMA-SWZ-FJI-GMB-GHA-GRD-GUY-IND-IRL-JAM-KEN-KIR-LSO-LBR-MWI-MLT-MHL-FSM-NAM-NRU-NGA-PAK-PLW-PNG-PHL-RWA-KNA-LCA-VCT-WSM-SYC-SLE-SGP-SLB-ZAF-SSD-SDN-TZA-TON-TTO-TUV-USA-UGA-VUT-ZMB-ZWE-ATG-AUS-NZL-GBR,0,1350000000,POINT (-1 53),Nottingham Trent University,University of Nottingham,0.000160515661,0.0001986666346,0.914,32896.25781,1,94.8222,95.8703,95.34121088,102414.0,28026.0,25.0,26.31962,100.0,0.93,2.914760113,0.9492212222803992,0.619485053560771,0.8238910627542658,0.785397210757836,0,0,0,3
1,1611,stan1290,French,fra,language,Eurasia,48.0,2.0,1,Indo-European [indo1319],1,370400000000.0,17.67065428,1886,2646615,1718893331,french,23906.0,7.656975,6863,1274.779822,0,17576,1,Safe,France,FRAr105,FRA,BEN-COD-COG-FRA-GAB-CIV-TGO-GIN-MCO-SEN-BEL-BDI-CMR-CAN-TCD-CAF-COM-DJI-GNQ-HTI-LUX-MDG-RWA-SYC-CHE-VUT,0,153299770,POINT (2 48),Université d'Orléans,Université Paris-Saclay,0.0001638954633,0.0007206943342,0.878,30695.77344,1,95.6676,88.136,85.33331549,346015.0,339928.0,9.0,25.39433,100.0,0.798,2.219180107,0.2029049082903438,0.7530610524963512,0.3693504814784176,0.3835780995305494,1,1,1,1
2,2755,nucl1643,Japanese,jpn,language,Eurasia,35.0,135.0,1,Japonic [japo1237],1,98700000000.0,11.99966267,1084,1436735,223229900,japanese,15002.61835,0.8510114583,4899,2045.431818,0,12427,1,Safe,Japan,JPNr107,JPN,JPN,0,128000000,POINT (135 35),Hyogo University of Teacher Education,Kansai University of International Studies,8.91e-05,0.0002326393367,0.928,38197.64453,1,93.8086,89.5488,84.92343147,266240.0,172172.0,17.0,3.11344,100.0,0.868,3.295809984,0.114272966280229,0.7092426934999139,0.3435636581315969,0.3030971573015087,2,2,1,2
3,937,mand1415,Mandarin Chinese,cmn,language,Eurasia,50.6319,126.866803,1,Sino-Tibetan [sino1245],1,109900000000.0,52.59233108721673,104,1450312,292663027,mandarin chinese,9.751256234,6.358397916666666,11443,7778.708333333333,2021-10-04 14:07:25,34,1,Safe,China,CHNr101,CHN,CHN-TWN-SGP,0,1000000000,POINT (116.228 40.0209),University of International Relations,Peking University,6.057660144024891e-05,8.496740828229238e-05,0.907,29956.509765625,1,81.4894,80.9409,75.61131603,720494.0,298999.0,25.0,33.6678,100.0,0.846,2.4326000213623,0.1155168190227411,0.7656450827827431,0.3050253176966571,0.2999182332053023,2,2,2,1
4,2728,ital1282,Italian,ita,language,Eurasia,43.0464,12.6489,1,Indo-European [indo1319],1,198400000000.0,0.1849363782,785,1890624,807475500,italian,22148.78477,1.839601042,4597,2819.965854,0,7382,1,Safe,Italy,ITAr119,ITA,ITA-CHE-HRV-SVN-SMR-VAT,0,3026000,POINT (12.6489 43.0464),Università per Stranieri di Perugia,Università degli Studi di Perugia,0.0002681856709,0.0002710830345,0.9,31553.77734,0,95.4067,83.6821,85.06074504,218260.0,134525.0,15.0,24.19916,99.0,0.839,1.453920007,0.0879174939415179,0.6839160443731682,0.2790309417000792,0.2534420544071739,2,3,2,2
5,4913,russ1263,Russian,rus,language,Eurasia,59.0,50.0,1,Indo-European [indo1319],1,832900000000.0,0.0003141779453,1184,2009136,402572100,russian,20002.92751,2.920296875,3775,2119.528027,0,9274,1,Safe,Russia,RUSr105,RUS,RUS-BLR-KAZ-KGZ-TJK,0,153919510,POINT (50 59),Vyatka State University,Vyatka State Humanities University,0.0005198172379,0.0005212274575,0.804,22446.21289,1,98.5695,87.9216,90.41799131,157439.0,163468.0,4.0,31.05893,100.0,0.856,0.9358400106,0.0605860784739348,0.6682803180459286,0.2851311610147906,0.2260088256614265,3,4,2,2
6,4849,roma1327,Romanian,ron,language,Eurasia,46.3913,24.2256,1,Indo-European [indo1319],1,55500000000.0,7.99061949,388,500426,394241000,romanian,17900.0,1.5557375,1488,4214.508824,0,3323,1,Safe,Romania,ROUr107,ROU,MDA-ROU,0,24300000,POINT (24.2256 46.3913),Universitatea de Arte din Târgu Mures,Universitatea Dimitrie Cantemir,0.0003633499703,0.000384975336,0.818,15170.19336,1,98.5524,91.9561,85.50309124,392983.0,361140.0,4.0,28.77131,99.0,0.769,0.4730199873,0.0577658719188661,0.7864242929831169,0.1868397680484792,0.2039854500459568,3,4,3,1
7,5302,thai1261,Thai,tha,language,Eurasia,14.192,100.671,1,Tai-Kadai [taik1256],1,57600000000.0,7.482096845,467,168378,32167900,thai,10.29322449,4.396311458,2398,3618.530414,0,1248,1,Potentially vulnerable,Thailand,THAr102,THA,THA,0,40000000,POINT (100.671 14.192),Mahachulalongkornrajavidyalaya University,Valaya Alongkorn Rajabhat University,3.67e-05,7.98e-05,0.805,12460.01953,1,88.4032,91.6405,87.97724503,195567.0,153067.0,9.0,27.85502,94.0,0.752,1.209720016,0.0531084957117298,0.6583484088503642,0.1835264081249056,0.1858258459231002,3,4,3,2
8,5812,viet1252,Vietnamese,vie,language,Eurasia,20.681188,105.774071,1,Austroasiatic [aust1305],1,88800000000.0,3.762407106,685,1294446,167082802,vietnamese,1.383873017,0.997296875,1900,2634.987085,0,1450,1,Safe,Vietnam,VNMr101,VNM,VNM,0,68058620,POINT (105.774071 20.681188),Hanoi University,University of Technology & Management,0.0003087499608,0.0003155424495,0.744,3582.039063,1,83.82,87.7,78.58999918,129659.0,103314.0,6.0,22.67548,96.0,0.719,0.425330013,0.0567031199028116,0.5688448943176071,0.1467482596473784,0.1679027952529944,3,4,3,4
9,3740,norw1258,Norwegian,nor,language,Eurasia,59.92,10.71,1,Indo-European [indo1319],1,27300000000.0,0.7288028337,215,638180,130150207,norwegian,141.8564717,3.466739583,981,4439.94958,0,3059,1,Safe,Norway,NORr101,NOR,NOR,0,5200000,POINT (10.71 59.92),Norges musikkhøgskole,MF vitenskapelig høyskole,1.26e-05,1.32e-05,0.98,60987.5625,1,96.0,99.0,98.99997764,213490.0,113725.0,3.0,22.10417,100.0,0.955,1.937980056,0.0355088577340028,0.7291834904531903,0.2185732094505869,0.1782064776230959,3,5,3,1
