	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aaa	0.42177122941775314	0.27406004361803676	0.07127796815517892	0.3901085154213528	0.22955623462265473	0.11547513164073468	0.22334925177028475	0.27805245248313576	0.5345086033478279	0.17456704275360957	0.24772944321848	0.49820826621448777	0.21237067404004317	0.15144613688352732	0.14625311553001974	0.17602077263588684	0.13837949906404554	0.17803581284199707	0.217124092672209	0.1639028038078013
aab	0.26923823468060687	0.08302895397193193	0.1404652654273421	0.32082398928578093	0.1286123904742219	0.10915309741203508	0.09402145431619752	0.333033722710175	0.33914445487890194	0.11172903052793516	0.13117746812068676	0.2884848176009515	0.10440081508054423	0.09445532323160945	0.09135361022235576	0.122067931969531	0.08979501449603218	0.09499530977698016	0.0998207614686732	0.17110979608293855
aac	0.279725076950717	0.45748739082140566	0.24283072699910485	0.18705761471899204	0.31488057534047087	0.2687755675215349	0.43199641610829886	0.16842104051161574	0.26786412185527236	0.35377449898901087	0.30334085142336115	0.29643360634441956	0.2991433269078777	0.4603103716904657	0.4501695157528563	0.2737798524349589	0.37238757464911665	0.31235193744817	0.38198505041448855	0.32953112670767465
aad	0.37198877792777363	0.1352715864283483	0.19002279199243136	0.4139739174075941	0.16994411917973368	0.15433592390214593	0.13004553168564523	0.404407583392004	0.4399555516939945	0.15055477899571001	0.16638162562675643	0.3822351886426528	0.13938015568962842	0.12112594802728328	0.1324351376314933	0.16138779893273097	0.12464277851066764	0.14153865045224337	0.1605897247509268	0.24746351623809423
aae	0.13427760478460826	0.22350159203848238	0.11017054162945682	0.07067914745882725	0.30117843959387314	0.10803509128799514	0.2943943663633945	0.0901122048685201	0.18831178987497596	0.25317704091557824	0.2118161513401768	0.17515225584228686	0.33837143716083434	0.40261840029124596	0.26347456144324966	0.17080038871325132	0.2636170841324294	0.1987778283446914	0.15930108461349335	0.2757177059337823
aaf	0.16020169192953293	0.27121169190005834	0.15724747281325002	0.11813447530528869	0.21951790090588588	0.1682282093119477	0.30569140069128464	0.11311016155003938	0.16128945766989985	0.24645760077195739	0.22297257879664034	0.17929985249118	0.2070979850022224	0.35809231769656363	0.3042054006616475	0.18816862430632822	0.25483451593989986	0.18767066732800725	0.2142544470618916	0.19610521021530847
aag	0.16020169192953293	0.27121169190005834	0.15724747281325002	0.11813447530528869	0.21951790090588588	0.1682282093119477	0.30569140069128464	0.11311016155003938	0.16128945766989985	0.24645760077195739	0.22297257879664034	0.17929985249118	0.2070979850022224	0.35809231769656363	0.3042054006616475	0.18816862430632822	0.25483451593989986	0.18767066732800725	0.2142544470618916	0.19610521021530847
aah	0.18097752919048005	0.43370386665853916	0.06452304745540124	0.11813447530528869	0.21951790090588588	0.13079923152078451	0.428753117555707	0.07348626827192832	0.22827201451449655	0.24645760077195739	0.2987150846973855	0.28627536156882744	0.2070979850022224	0.35809231769656363	0.3042054006616475	0.18816862430632822	0.24303080518294282	0.18767066732800725	0.2880317187452533	0.1437940147712858
aai	0.4008037487231321	0.15344928785878087	0.18587124020367457	0.3901085154213528	0.22955623462265473	0.14772066233215803	0.14796638333869833	0.406927866843015	0.5064101709804586	0.17456704275360957	0.1814166377589006	0.4224067392696895	0.21237067404004317	0.15144613688352732	0.14625311553001974	0.17602077263588684	0.14898122246513607	0.17803581284199707	0.17283531060021753	0.2310338515768432
aak	0.4008037487231321	0.15344928785878087	0.18587124020367457	0.3901085154213528	0.22955623462265473	0.14772066233215803	0.14796638333869833	0.406927866843015	0.5064101709804586	0.17456704275360957	0.1814166377589006	0.4224067392696895	0.21237067404004317	0.15144613688352732	0.14625311553001974	0.17602077263588684	0.14898122246513607	0.17803581284199707	0.17283531060021753	0.2310338515768432
aal	0.311777341298343	0.18058131440925376	0.05049414062081317	0.2967228612266975	0.1771401964784534	0.08057651803964198	0.16610817353955445	0.22144527245247772	0.43244123995521233	0.13064607171830359	0.1980577023287633	0.40409259786185825	0.1625953510013592	0.11875809025454294	0.10160931771896707	0.13353908765034286	0.10050893662889805	0.12091163854345482	0.13867508751014637	0.11035648340017619
aam	0.5469779738686475	0.6488039980792218	0.5954425442255147	0.5596591530869399	0.4978728557153382	0.6047754797168118	0.5926397611069711	0.5183719319917132	0.5969323522917516	0.5425993856480973	0.6208144669273946	0.5371352888164198	0.5083137725472142	0.4603103716904657	0.642752400400321	0.6094895861541684	0.5429079256654306	0.5751199110116146	0.6758555660088614	0.695485208455833
aan	0.279725076950717	0.45748739082140566	0.24283072699910485	0.18705761471899204	0.31488057534047087	0.2687755675215349	0.43199641610829886	0.16842104051161574	0.26786412185527236	0.35377449898901087	0.30334085142336115	0.29643360634441956	0.2991433269078777	0.4603103716904657	0.4501695157528563	0.2737798524349589	0.37238757464911665	0.31235193744817	0.38198505041448855	0.32953112670767465
aao	0.26923823468060687	0.08302895397193193	0.1404652654273421	0.32082398928578093	0.1286123904742219	0.10915309741203508	0.09402145431619752	0.333033722710175	0.33914445487890194	0.11172903052793516	0.13117746812068676	0.2884848176009515	0.10440081508054423	0.09445532323160945	0.09135361022235576	0.122067931969531	0.08979501449603218	0.09499530977698016	0.0998207614686732	0.17110979608293855
aap	0.16020169192953293	0.27121169190005834	0.15724747281325002	0.11813447530528869	0.21951790090588588	0.1682282093119477	0.30569140069128464	0.11311016155003938	0.16128945766989985	0.24645760077195739	0.22297257879664034	0.17929985249118	0.2070979850022224	0.35809231769656363	0.3042054006616475	0.18816862430632822	0.25483451593989986	0.18767066732800725	0.2142544470618916	0.19610521021530847
aaq	0.30857047019659706	0.49543440707826025	0.23953001400021187	0.17852710479206738	0.40375665103980674	0.25820122940158624	0.4712623139547318	0.17276750505352279	0.33221218244247686	0.4005790923943095	0.3286785855591341	0.3405953093774899	0.4156622874133474	0.5253272330211562	0.47812193608869913	0.29701358811873896	0.4227001567540204	0.37520252387035347	0.4068452314375242	0.31014691482059736
