	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aaa	0.4473875253412424	0.6103816267789526	0.6741196286029956	0.4297276421597287	0.6776052087539995	0.81417586652832	0.5162745699276561	0.5277558352031462	0.23339394015544124	0.7104676009438587	0.5814927292901667	0.26956078319490556	0.6982270290863367	0.7177182423396398	0.7741382965323663	0.7122117757903957	0.7036780497596647	0.7435607808269538	0.4257095549920113	0.6421334456383643
aab	0.6484925069722658	0.8535637712420173	0.7862259993766763	0.4810418611659649	0.8017522683749302	0.8473531698564074	0.8115283373745386	0.5867719658715782	0.530073842396763	0.784086748846501	0.7950284808369474	0.6068399021475404	0.7994842879884878	0.8014779184990151	0.8490029000401287	0.7815872898761774	0.8482980337558669	0.8222224447887131	0.7897095944780143	0.7396359083048568
aac	0.6869904635208289	0.4921635336101352	0.7080586254525308	0.7596208396715834	0.6437561059732152	0.6917895354358568	0.5146354456961324	0.7965117100023661	0.6977663409178055	0.5857925387695923	0.6440066824280075	0.6717125834839657	0.6428112013304469	0.4667827755128692	0.5030370087842927	0.6668961818774393	0.5829045881517656	0.63514380353646	0.549299363571585	0.6182909269350855
aad	0.5581312089784535	0.7988665737587843	0.7414194449191215	0.4400981110114069	0.7641617426004309	0.8047572057952981	0.7799743223592344	0.5231750566244738	0.4472290164092185	0.7520566036058568	0.7652360548101437	0.5163724658655234	0.780430856903254	0.7846513490263987	0.809463337130222	0.7487053608609113	0.815255919551686	0.786954238618389	0.7362552776151592	0.6693141542456754
aae	0.7967002667001998	0.7040842947888396	0.7963922693739474	0.7279880125114031	0.6004985273840652	0.8239460359983812	0.6243604182548291	0.8472144376843376	0.7554336761203758	0.6510269416039679	0.7181224702300772	0.7823463337401315	0.5483608654113264	0.42907592159939373	0.6294702987707967	0.7082632521353739	0.6656209352103458	0.6895995861571825	0.6944696782746913	0.6569713057980524
aaf	0.8002561918569648	0.6701111159331343	0.7878245716889879	0.8035398171777258	0.7325930376381113	0.7865545405431019	0.6286957927412951	0.8502126246583909	0.8010270344186965	0.6795519739863605	0.7160791060631347	0.7894308862802267	0.7117686002924699	0.5443740886756765	0.6373456548614463	0.7432029783669565	0.6924120813930038	0.7412135733764406	0.6983873711055135	0.743399027351959
aag	0.8002561918569648	0.6701111159331343	0.7878245716889879	0.8035398171777258	0.7325930376381113	0.7865545405431019	0.6286957927412951	0.8502126246583909	0.8010270344186965	0.6795519739863605	0.7160791060631347	0.7894308862802267	0.7117686002924699	0.5443740886756765	0.6373456548614463	0.7432029783669565	0.6924120813930038	0.7412135733764406	0.6983873711055135	0.743399027351959
aah	0.7430246336162447	0.4722112516516883	0.7813333133019892	0.8035398171777258	0.7325930376381113	0.7900060995445115	0.40146495727935927	0.8456594286291005	0.6718680528808689	0.6795519739863605	0.5470097194327668	0.6254121790013765	0.7117686002924699	0.5443740886756765	0.6373456548614463	0.7432029783669565	0.640035854709645	0.7412135733764406	0.4560741794847851	0.7176918687149011
aai	0.5172757043158558	0.7755610399639971	0.7273077838773728	0.4297276421597287	0.6776052087539995	0.8062612240228154	0.7512357905282816	0.5044990711168755	0.37311883101878424	0.7104676009438587	0.7468191277515663	0.46060477765565083	0.6982270290863367	0.7177182423396398	0.7741382965323663	0.7122117757903957	0.781622750777109	0.7435607808269538	0.697604412305084	0.6874643252026961
aak	0.5172757043158558	0.7755610399639971	0.7273077838773728	0.4297276421597287	0.6776052087539995	0.8062612240228154	0.7512357905282816	0.5044990711168755	0.37311883101878424	0.7104676009438587	0.7468191277515663	0.46060477765565083	0.6982270290863367	0.7177182423396398	0.7741382965323663	0.7122117757903957	0.781622750777109	0.7435607808269538	0.697604412305084	0.6874643252026961
aal	0.5309006130507593	0.7001116109942322	0.6850824256806708	0.46099729733534334	0.7249081822885568	0.8458021829668139	0.552559549042346	0.5724349374700606	0.29033036638157184	0.7469997894077296	0.6126208601386515	0.34044380233994814	0.7311101142287996	0.7371987272932418	0.817779960674149	0.7457431777029992	0.7382038814489701	0.7861219915253823	0.4691802245086029	0.6909729478617713
