	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aaa	0.9101986567242746	0.8589382110800872	0.8531156187947306	0.7675759742382955	0.7400451833461875	0.8811873893189303	0.8289761366109563	0.5771675444033482	0.7776600905570836	0.8658555487007904	0.9170318316385326	0.7405157560456693	0.7731933948520726	0.8499233311593417	0.6810614497832761	0.7241448626948197	0.6694763992612249	0.8860842750808053	0.7867478427941235	0.8648905219822465
aab	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9024547121629362	0.9453445370705551	0.9263132274384748	0.7869400884684423	0.9234156511857038	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9076498390319032	0.9416937371638836	0.9097565064169969	0.9039996577861108	0.8048591104396392	0.8556972404588816	0.9086339877047925	0.8648905219822465
aac	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9521846138360017	0.9453445370705551	0.9660076878729275	0.9453947929993995	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9642462816845205	0.9211719857192484	0.9086339877047925	0.8648905219822465
aad	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9263170841793917	0.9453445370705551	0.9263132274384748	0.833430781876922	0.9234156511857038	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9076498390319032	0.9416937371638836	0.9097565064169969	0.9039996577861108	0.8433509922561889	0.8860842750808053	0.9086339877047925	0.8648905219822465
aae	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9024547121629362	0.9453445370705551	0.9660076878729275	0.89017900954035	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9326807780605457	0.8556972404588816	0.9086339877047925	0.8648905219822465
aaf	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9263170841793917	0.9453445370705551	0.9660076878729275	0.9165318643516835	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9476010634533194	0.8860842750808053	0.9086339877047925	0.8648905219822465
aag	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9263170841793917	0.9453445370705551	0.9660076878729275	0.9165318643516835	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9476010634533194	0.8860842750808053	0.9086339877047925	0.8648905219822465
aah	0.9101986567242746	0.8589382110800872	0.8531156187947306	0.7675759742382955	0.7400451833461875	0.8811873893189303	0.9163714286495852	0.749725487870653	0.874152913275685	0.8658555487007904	0.9170318316385326	0.7405157560456693	0.8740716587276756	0.8499233311593417	0.6810614497832761	0.8488975884454737	0.8718582294657926	0.8860842750808053	0.7867478427941235	0.8648905219822465
aai	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9263170841793917	0.9453445370705551	0.9263132274384748	0.833430781876922	0.9234156511857038	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9076498390319032	0.9416937371638836	0.9097565064169969	0.9039996577861108	0.8433509922561889	0.8860842750808053	0.9086339877047925	0.8648905219822465
aak	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9263170841793917	0.9453445370705551	0.9263132274384748	0.833430781876922	0.9234156511857038	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9076498390319032	0.9416937371638836	0.9097565064169969	0.9039996577861108	0.8433509922561889	0.8860842750808053	0.9086339877047925	0.8648905219822465
aal	0.9101986567242746	0.8589382110800872	0.8531156187947306	0.7675759742382955	0.6768995284378336	0.8811873893189303	0.8289761366109563	0.5018988892213543	0.7776600905570836	0.8658555487007904	0.9170318316385326	0.7405157560456693	0.7731933948520726	0.8499233311593417	0.6810614497832761	0.7241448626948197	0.6081131303338694	0.8556972404588816	0.7867478427941235	0.8648905219822465
aam	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9521846138360017	0.9453445370705551	0.9263132274384748	0.8875025847717015	0.9234156511857038	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9076498390319032	0.9416937371638836	0.9097565064169969	0.9039996577861108	0.8892418961680097	0.9211719857192484	0.9086339877047925	0.8648905219822465
aan	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9521846138360017	0.9453445370705551	0.9660076878729275	0.9453947929993995	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9642462816845205	0.9211719857192484	0.9086339877047925	0.8648905219822465
aao	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9024547121629362	0.9453445370705551	0.9263132274384748	0.7869400884684423	0.9234156511857038	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9076498390319032	0.9416937371638836	0.9097565064169969	0.9039996577861108	0.8048591104396392	0.8556972404588816	0.9086339877047925	0.8648905219822465
aap	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9263170841793917	0.9453445370705551	0.9660076878729275	0.9165318643516835	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9476010634533194	0.8860842750808053	0.9086339877047925	0.8648905219822465
aaq	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9521846138360017	0.9453445370705551	0.9660076878729275	0.9453947929993995	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9642462816845205	0.9211719857192484	0.9086339877047925	0.8648905219822465
aar	0.6124587038135982	0.3523772080012876	0.681387075402804	0.41997263217094427	0.35182106313554706	0.6794371532785145	0.5540205278022414	0.18826891023847725	0.3836381464974906	0.47046461125904937	0.6542725432236227	0.45583862598683533	0.5269298439839802	0.7316754910672928	0.29104885622338605	0.35816201629779276	0.22444296918248097	0.5437556776910637	0.45338288279781314	0.3605068726358689
aas	0.9101986567242746	0.8589382110800872	0.9306570697718743	0.9114872616552393	0.9521846138360017	0.9453445370705551	0.9660076878729275	0.9453947929993995	0.9599130660793468	0.8658555487007904	0.9170318316385326	0.9216392018745838	0.9524061962588111	0.9416937371638836	0.9097565064169969	0.9527248949906799	0.9642462816845205	0.9211719857192484	0.9086339877047925	0.8648905219822465
