	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aaa	0.06361415712647032	0.04529097351532775	0.04974436166019776	0.06133589889846597	0.025207597610938538	0.03239201488668761	0.0894406777107162	0.06961575378419725	0.08061642738865184	0.034697616709751716	0.07960637897837043	0.03762801770774346	0.044046639472339374	0.021745015803359753	0.015132371309042185	0.025927578817212263	0.04025513861699844	0.040206701888116606	0.06847297926862919	0.0676891332258054
aab	0.03990666968425244	0.034463328576745535	0.030940843701939193	0.11501277742866867	0.032517652269247466	0.022148760690603723	0.03427860484665126	0.03938623091064183	0.06335963111784365	0.05655302055206143	0.045832068007880575	0.027111033695764463	0.06698142658021582	0.029766777037257768	0.021151531194163003	0.03344433975122438	0.030438571994677588	0.05865175699042255	0.040563791967843155	0.05261018089523929
aac	0.016684754429626737	0.030944748035973434	0.025824035440443656	0.028629237906451534	0.01909671627768244	0.01723348625645379	0.02916900341832149	0.015981707994665476	0.013037743147045786	0.04210215600852484	0.041501143071734144	0.010190215541882883	0.03691488313010092	0.030852261351255943	0.018110966532266053	0.02319053357048724	0.024240547626953473	0.040857902366165995	0.03310586722297032	0.03275874578288538
aad	0.03395693400907343	0.035685886946602914	0.02988073898407864	0.08600675035547993	0.02871373347117856	0.019816476192858788	0.03320030798122178	0.034145646570744204	0.0485988243850793	0.05141478990592529	0.04366551277773845	0.024221827728838085	0.05261171278293407	0.025383199791213545	0.018599559889442605	0.03201706478052284	0.02840354064134408	0.05151051301157761	0.03757081632969137	0.04726277264213944
aae	0.014645054333539916	0.014687480289921902	0.02436577743275772	0.024230614525070915	0.021134233741746042	0.010780873044102348	0.027355943753993507	0.01151374912092791	0.015205333743229249	0.027297980033034082	0.02257656258843046	0.005619126322131551	0.04748012714403604	0.03513217606510553	0.020077087950311445	0.017877143142285272	0.016652108309994484	0.037534912373419105	0.021545959913384444	0.027174668785274022
aaf	0.019770638487828517	0.036205357771837414	0.02772493244504345	0.04098175922332941	0.024370365279649947	0.021429553442084505	0.03522483052528634	0.017792571059164923	0.017266737722988975	0.052925431997437156	0.04685933554865675	0.011131563530024029	0.05663065234852728	0.044261440155479365	0.02590642287236639	0.025868533025117692	0.03009577499220621	0.05424570002572741	0.04250750682544023	0.03981991354532225
aag	0.019770638487828517	0.036205357771837414	0.02772493244504345	0.04098175922332941	0.024370365279649947	0.021429553442084505	0.03522483052528634	0.017792571059164923	0.017266737722988975	0.052925431997437156	0.04685933554865675	0.011131563530024029	0.05663065234852728	0.044261440155479365	0.02590642287236639	0.025868533025117692	0.03009577499220621	0.05424570002572741	0.04250750682544023	0.03981991354532225
aah	0.05002010533496693	0.06484126840350814	0.053355526106367	0.04098175922332941	0.024370365279649947	0.05170102718335272	0.10312723459644091	0.045012183501387575	0.049964009279355764	0.052925431997437156	0.12453755394772537	0.03588553269667549	0.05663065234852728	0.044261440155479365	0.02590642287236639	0.025868533025117692	0.06110292046716867	0.05424570002572741	0.12295357662273879	0.08147383607533289
aai	0.02699244653032657	0.02264316015362407	0.027658144063511452	0.06133589889846597	0.025207597610938538	0.013353990511349273	0.02838659145161965	0.02616443923683763	0.037356912014356085	0.034697616709751716	0.029386566699861356	0.015800544764654586	0.044046639472339374	0.021745015803359753	0.015132371309042185	0.025927578817212263	0.02035765472358322	0.040206701888116606	0.025332533174030468	0.034193378472515544
aak	0.02699244653032657	0.02264316015362407	0.027658144063511452	0.06133589889846597	0.025207597610938538	0.013353990511349273	0.02838659145161965	0.02616443923683763	0.037356912014356085	0.034697616709751716	0.029386566699861356	0.015800544764654586	0.044046639472339374	0.021745015803359753	0.015132371309042185	0.025927578817212263	0.02035765472358322	0.040206701888116606	0.025332533174030468	0.034193378472515544
