	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aaa	0.06722708811453407	0.07026735608768295	0.20485804158162776	0.11882794352045258	0.06763095901240723	0.03795698694425776	0.17093550059134296	0.12457595852952079	0.15148102910807906	0.08026773959277995	0.09117144851298284	0.19460293288286318	0.045355657401280725	0.10909060497347314	0.06447621662857188	0.08583987275650527	0.1176873125592911	0.03819670444293253	0.2886933730671505	0.12627461732802905
aab	0.04236258866287493	0.028943946209305304	0.04236789149404229	0.08312137211958547	0.037117688881600705	0.021344972040953657	0.0601716034626126	0.04080808050760491	0.06742207160649138	0.04763120007350247	0.027961983034485126	0.07756424655574368	0.02913347035075211	0.0742999812321176	0.03849195854335248	0.0629004384030673	0.03146837975342334	0.02413048844388427	0.06990585208546936	0.03664411471696524
aac	0.016599705098827265	0.019404327532485763	0.023286612107920567	0.02469230770297302	0.022266602408631406	0.022201410786154518	0.024199134777247125	0.01908554149135265	0.02133179407987616	0.01833080623287204	0.011151323076897045	0.021663594629731997	0.021130588631574455	0.04205459144540926	0.02868250893058499	0.03613343211711456	0.020467289572164173	0.01164635664920392	0.03560971879095622	0.01941920057435436
aad	0.03592307908469942	0.030175952866264642	0.038677024104368615	0.05992122122551907	0.03718040474865684	0.0210903941096971	0.056779837973898614	0.03827171341277805	0.06421660751170784	0.04597382749250787	0.024716806785361558	0.07717051776298565	0.027577274624183586	0.06883950315510456	0.039501965348842115	0.05788977542583499	0.03169776129630234	0.01999659791778995	0.06558418130422249	0.03595955687409078
aae	0.05437707418165191	0.05772663288275608	0.06907141156383817	0.17710222550469873	0.0771887992803156	0.05723799966952121	0.053889271627782946	0.05115960832621446	0.04104920026141892	0.06849803744741988	0.04748481584131543	0.036882284095450045	0.06578757028380307	0.13317350204425463	0.08697805183564222	0.10305921600908954	0.05410987234723029	0.07408767312470696	0.12468327719843086	0.0401363194828912
aaf	0.019771477725673666	0.022471834394969928	0.02720302305271867	0.037343948293656185	0.023518696176352917	0.023787696702865863	0.030387976042133908	0.01888464273240474	0.02041677018841469	0.02106499324424491	0.014088979591568023	0.020137697698569365	0.024502762356780432	0.05327215347228066	0.03254252160453999	0.04275986430159757	0.02265762767489013	0.016870059269824846	0.0448506750071548	0.02067584888741024
aag	0.019771477725673666	0.022471834394969928	0.02720302305271867	0.037343948293656185	0.023518696176352917	0.023787696702865863	0.030387976042133908	0.01888464273240474	0.02041677018841469	0.02106499324424491	0.014088979591568023	0.020137697698569365	0.024502762356780432	0.05327215347228066	0.03254252160453999	0.04275986430159757	0.02265762767489013	0.016870059269824846	0.0448506750071548	0.02067584888741024
aah	0.025977731858308296	0.029243613286264382	0.10078811313624259	0.037343948293656185	0.023518696176352917	0.027493641751351307	0.06665469056849285	0.035842119597583676	0.04989592332527878	0.02106499324424491	0.02973764192212249	0.05242692673312054	0.024502762356780432	0.05327215347228066	0.03254252160453999	0.04275986430159757	0.05583041964024341	0.016870059269824846	0.13294052514722288	0.057040280438480286
aai	0.05492810043068543	0.04834651202359806	0.05916283185544124	0.11882794352045258	0.06763095901240723	0.03266412313367732	0.0724112346814004	0.06240862280327191	0.08311408598640116	0.08026773959277995	0.04237766778967157	0.10118793831000505	0.045355657401280725	0.10909060497347314	0.06447621662857188	0.08583987275650527	0.049038372034171766	0.03819670444293253	0.10422774392066803	0.04730844474794534
aak	0.05492810043068543	0.04834651202359806	0.05916283185544124	0.11882794352045258	0.06763095901240723	0.03266412313367732	0.0724112346814004	0.06240862280327191	0.08311408598640116	0.08026773959277995	0.04237766778967157	0.10118793831000505	0.045355657401280725	0.10909060497347314	0.06447621662857188	0.08583987275650527	0.049038372034171766	0.03819670444293253	0.10422774392066803	0.04730844474794534
